Locality,Locality with Morris,Territory,latitude,longitude,Rb,Sr,Y,Zr,Nb,sample,Data Source
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,30,153,15,78,8,2020-130a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,32,161,15,88,6,2020-130a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,30,170,16,86,9,2020-130a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,29,172,13,82,6,2020-130a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,48,198,17,96,9,2020-130b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,51,198,17,95,4,2020-130b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,48,195,18,99,9,2020-130b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,71,281,26,161,11,2020-130c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,84,292,33,206,11,2020-130c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,87,311,34,220,16,2020-130c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,73,282,26,168,10,2020-130d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,73,288,26,165,8,2020-130d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,73,285,27,165,11,2020-130d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,69,285,23,146,8,2020-130e,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,83,323,29,174,8,2020-130e,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,86,335,28,177,8,2020-130e,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,43,219,16,99,7,2020-130x,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,42,227,16,97,8,2020-130x,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31509101,-121.805948,40,247,15,99,3,2020-130x,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,45,190,18,94,7,2020-132a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,45,199,19,100,9,2020-132a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,45,193,17,92,8,2020-132a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,45,196,18,96,7,2020-132a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,44,193,20,95,6,2020-132a,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,30,359,19,113,6,2020-132b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,29,360,19,118,7,2020-132b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,30,369,17,120,7,2020-132b,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,40,195,25,139,13,2020-132c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,41,213,27,162,15,2020-132c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,44,238,29,177,12,2020-132c,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,36,240,15,94,9,2020-132d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,36,260,17,105,7,2020-132d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,37,269,16,111,6,2020-132d,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,44,282,12,85,4,2020-132e,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,44,290,15,84,5,2020-132e,GeoArchaeo
Sts'ailes - West Shore,Sts'ailes - West Shore,Sts'ailes,49.31440897,-121.80562,52,326,18,89,8,2020-132e,GeoArchaeo
Sts'ailes - Echo,Sts'ailes - Echo,Sts'ailes,49.34033403,-121.774599,31,476,46,110,6,GEOL-15-2020-14a,GeoArchaeo
Sts'ailes - Echo,Sts'ailes - Echo,Sts'ailes,49.34033403,-121.774599,31,475,47,115,8,GEOL-15-2020-14a,GeoArchaeo
Sts'ailes - Echo,Sts'ailes - Echo,Sts'ailes,49.34033403,-121.774599,32,473,47,112,7,GEOL-15-2020-14a,GeoArchaeo
