info,Type,Type2,Rb,Sr,Y,Zr,Nb
DhRl-83-058,Biface,LargeBiface,44.66666667,303.6666667,27.33333333,145,7
DhRl-83-082,Biface,LargeBiface,32.33333333,384.3333333,44.66666667,185.6666667,9.333333333
DhRl-83-089,Biface,LargeBiface,3,121.3333333,16.33333333,107.6666667,8.666666667
DhRl-83-096,Biface,LargeBiface,39.66666667,363.3333333,43.66666667,176.3333333,7.666666667
DhRl-83-126,Biface,LargeBiface,46,309.3333333,34,198.3333333,9.666666667
DhRl-83-190,Biface,LargeBiface,42,223.75,39,114.25,10.5
DhRl-83-3434,Biface,Biface,8,136.3333333,19.33333333,110.6666667,8.333333333
DhRl-83-3438,Biface,Biface,58.33333333,219.6666667,16,82.66666667,4
DhRl-83-3443,Biface,Biface,6.666666667,147.3333333,18.33333333,109,8.666666667
DhRl-83-3444,Biface,Biface,12,169.3333333,19.66666667,118,10
DhRl-83-3450,Biface,Biface,23.33333333,307.6666667,36.66666667,132,7.666666667
dhrl-b-180,Biface,Biface,24,274.6666667,30,121.6666667,3.333333333
dhrl-b-3446,Biface,Biface,15.33333333,306.6666667,45.66666667,102,1.666666667
dhrl-b-3448,Biface,Biface,1.333333333,116.3333333,17.66666667,104.6666667,5
dhrl-b-551,Biface,Biface,18,310.6666667,32.66666667,126,6
dhrl83-1633,Debitage,Debitage,21.33333333,303,39.66666667,156.6666667,5
dhrl83-1634,Debitage,Debitage,6,162,26.33333333,105.3333333,4.333333333
dhrl83-1636,Debitage,Debitage,11.33333333,152.6666667,16,97.33333333,7
dhrl83-1637,Debitage,Debitage,32.33333333,343.6666667,34.66666667,151,6
dhrl83-1639,Debitage,Debitage,14,323,32.33333333,119.6666667,7.333333333
dhrl83-1640,Debitage,Debitage,20,337.6666667,33,125.6666667,5.333333333
dhrl83-1649,Debitage,Debitage,22,286.3333333,34.66666667,121,2.333333333
dhrl83-1659,Debitage,Debitage,20,303.3333333,32.66666667,121.3333333,4.666666667
dhrl83-1670,Debitage,Debitage,14.33333333,182.3333333,16,111,4.333333333
dhrl83-1672,Debitage,Debitage,25,354,37.33333333,150,5.333333333
dhrl83-1678,Debitage,Debitage,18,305,36.66666667,136.3333333,6.333333333
dhrl83-1679,Debitage,Debitage,11.33333333,296.6666667,38.33333333,116.6666667,6
dhrl83-1684,Debitage,Debitage,30.66666667,309.6666667,39.33333333,120,6.666666667
dhrl83-1845,Debitage,Debitage,19.33333333,307.6666667,33.66666667,125.3333333,6.333333333
dhrl83-1846,Debitage,Debitage,15,292.3333333,38,155.3333333,8.666666667
dhrl83-1847,Debitage,Debitage,21,300,33.66666667,133.3333333,3.666666667
dhrl83-1848,Debitage,Debitage,25.33333333,320,30.66666667,112.6666667,1.333333333
dhrl83-1854,Debitage,Debitage,10.66666667,315,40.66666667,113,4
dhrl83-1863,Debitage,Debitage,19.66666667,317,38.66666667,152,6.666666667
dhrl83-1864,Debitage,Debitage,17.66666667,307,38,144.3333333,4.666666667
dhrl83-1869,Debitage,Debitage,23,427.6666667,39.33333333,170.6666667,5.333333333
dhrl83-1871,Debitage,Debitage,17.33333333,410.6666667,43.66666667,190,7
